"first_seen","status","company","role","source","tier","notes","url"
"2026-09-21","new","Transit","iOS Developer","seg4","3","RELOCATE; Montreal QC Canada; Montreal move, junior band; domestic move from Toronto so no work authorization question, and the posting says nothing either way about relocation support; undated; CAD 70,000-110,000; native iOS Objective-C/Swift on a shipped consumer app, the closest match to the resume's own iPhone/iPad app; gap: pay band and open UIKit-or-SwiftUI phrasing read well below 20 years of scope","https://manifesto.transitapp.com/jobs/ios-developer"
"2026-09-21","new","Cloud Chamber","Senior Graphics Programmer","li1r","3","OK; Montreal QC (Remote); native C++ engine graphics role; posted 6 days ago; comp not shown; AAA game-studio graphics seat, the stretch category the positioning file flags for this resume; gap: no C++ or native GPU API rendering experience","https://www.linkedin.com/jobs/view/4410233853/"
"2026-09-21","new","Creative Niche","3D Artist / Animator & Compositor","li1r","3","OK; Toronto ON (Remote); 3D art role, not engineering; posted about 1 week ago; CAD 45-60 per hour; creative staffing-agency posting with no client named; gap: art, animation and compositing role rather than software engineering","https://www.linkedin.com/jobs/view/4464129032/"
"2026-09-21","new","Rockstar Games","Senior Technical Artist: Procedural Art","li1t","3","OK; Oakville ON (On-site); technical art role, not engineering; reposted about 2 weeks ago; CAD 105,000-115,000; captured from the li1t result card and never opened, so the description is unread; named target studio and the right tooling territory; distinct role from the Animation Tools Programmer req already in this ledger; gap: art-side skills first, and no Houdini or Maya pipeline experience","https://www.linkedin.com/jobs/view/4396363170/"
"2026-09-21","new","Autodesk","Senior Software Developer, MCP/AI","li1t","1","OK; Toronto ON (Hybrid); reposted 4 days ago; CAD 123,000-180,400; Visualization Solutions team building Viewer MCP with WebGL/WebGPU and 2D/3D visualization, confirmed on open in li1t so the description is read despite the li1t-only source; the AI-tooling half maps to the agent-driven 70,000-line TypeScript port; level right; gap: WebGPU, and no MCP or agent-tooling work shipped in public","https://www.linkedin.com/jobs/view/4449304832/"
"2026-09-21","new","Show Builder","AI Video Editing Lead","li2r","3","OK; Canada; AI video editing, not playback; posted about 1 week ago; comp not shown; li4r opened the same card under a different keyword and dropped it as off-topic for playback engineering, so the two runs disagree on whether it belongs in the table; gap: AI-driven editing and generation rather than player or playback engineering","https://www.linkedin.com/jobs/view/4466108255/"
"2026-09-21","new","Insight Global","REMOTE Cinematics Producer (VFX, Feature Animation, Entertainment, Gaming)","li2r","3","RELOCATE; Montreal QC Canada; VFX production producer, not engineering; domestic move from Toronto so no work authorization question, and the posting says nothing either way about relocation support; posted 3 days ago; CAD 50-55 per hour; staffing-agency posting with no client named; li4r opened the same card and dropped it as off-topic; gap: VFX and animation production management rather than software engineering","https://www.linkedin.com/jobs/view/4468026113/"
"2026-09-21","new","Invision AI","Senior Elixir Full Stack Developer","li2t","3","OK; Toronto ON (Hybrid); Elixir stack, none on resume; posted about 3 weeks ago; comp not listed; opened and read in li2t, where the role explicitly covers real-time video processing, computer vision and a multi-camera 3D pipeline, which is the domain hook; gap: Elixir, nowhere on the resume","https://www.linkedin.com/jobs/view/4459156745/"
"2026-09-21","new","Pinterest","Sr. Software Engineer, Web","li3r li3t","2","OK; Toronto ON, posting says the role can be located anywhere in Ontario with occasional onsite 1-2x per quarter; reposted 1 day ago, the freshest web row in the pass; comp not named; senior web engineering at a media-heavy consumer platform, opened in li3r and again in li3t on the identical LinkedIn job id; level right; gap: production React at scale, plus testing and CI","https://www.linkedin.com/jobs/view/4433541211/"
"2026-09-21","new","RFL Wealth Management","FRONT-END DEVELOPER & WEB MANAGER- 6 MONTH CONTRACT","li3r","3","OK; Canada (Remote), posting says candidates must be legally eligible to work in Canada; marketing site contract, no depth; posted about 3 weeks ago; comp not named; Core Web Vitals, Lighthouse and page-speed work is the only hook and it echoes the Quest 2 memory and load work; gap: wealth-management marketing site with no rendering, media or real-time dimension","https://www.linkedin.com/jobs/view/4460034029/"
"2026-09-21","new","Kake","Senior Backend Engineer (TypeScript/Python/C#)","li3r","3","RELOCATE; Montreal QC Canada; backend C#/Python, no rendering; listed as Montreal QC (Remote) and domestic in any case, so no work authorization question, and the posting says nothing either way about relocation support; reposted about 2 weeks ago; comp not named; captured from the li3r card rather than opened; title as posted ends '- Remote', stripped for the dedupe key; distinct role from the Kake player req already in this ledger; gap: backend service work with no frontend, rendering or media dimension","https://www.linkedin.com/jobs/view/4448023625/"
"2026-09-21","new","1Password","Senior Developer, Open Source","li3r","3","OK; Canada (Remote), posting says remote opportunity within Canada and the US; IDE tooling, no rendering work; reposted 3 days ago; CAD 144,000-202,000; named target company and a strong band; distinct role from the 1Password frontend req already in this ledger, and skipped for the same reason; gap: open-source IDE and agent-integration tooling with no rendering, canvas or media dimension","https://www.linkedin.com/jobs/view/4441226017/"
"2026-09-21","new","Tetra Digital Group","Senior Full-Stack Engineer","li3t","2","OK; Toronto ON (Hybrid); posted about 3 weeks ago; CAD 200,000-300,000, the highest band in the pass; TypeScript named explicitly and the posting was opened in li3t; carried into tier 2 as a long shot on the band alone, since no rendering, media or real-time dimension is described; level right; gap: no media, rendering or real-time dimension described","https://www.linkedin.com/jobs/view/4460075064/"
"2026-09-21","new","CareLink (by Asepha)","Senior Software Engineer, Agentic Systems","li3t","2","OK; Toronto ON (Hybrid); posted about 1 week ago; CAD 130,000-200,000 from the posting text; TypeScript named as an accepted language, and agentic systems is the one young category where the agent-driven TypeScript port is real evidence; level right; gap: no shipped agent-platform or backend agentic-systems work","https://www.linkedin.com/jobs/view/4465068790/"
"2026-09-21","new","Citi","Full Stack Technology Lead - Vice President","li3t","3","OK; Mississauga ON (Hybrid); enterprise banking, no media; reposted about 2 weeks ago; CAD 120,800-170,800; TypeScript named explicitly and in depth on the posting; gap: enterprise banking full-stack with no rendering, media or real-time dimension","https://www.linkedin.com/jobs/view/4443880997/"
"2026-09-21","new","RedBranch Executive Search & Recruitment","Founding Technical Lead / CTO","li3t","3","OK; Greater Toronto Area, Canada (Hybrid); CTO scope, far over level; reposted about 2 weeks ago; CAD 150,000-200,000; recruiter posting for an unnamed AI startup client, TypeScript named explicitly; gap: founding CTO scope against little people-management evidence on the resume","https://www.linkedin.com/jobs/view/4454952397/"
"2026-09-21","new","Rockstar Games","Senior Web Programmer","li3t","2","OK; Oakville ON (On-site); reposted about 2 weeks ago; CAD 96,400-142,660; React/Next.js/Node with web performance optimization as a named responsibility, which maps onto the Quest 2 memory and load work; named target studio, opened in li3t; on-site Oakville is a commute rather than a move; level right; gap: production React at scale, plus testing and CI","https://www.linkedin.com/jobs/view/4257062291/"
"2026-09-21","new","Impro.AI","Full Stack Engineer","li3t","3","OK; Toronto ON (Hybrid); generic full stack, low band; posted about 2 weeks ago; CAD 110,000-140,000; TypeScript named explicitly; gap: generic full-stack with no rendering or media dimension, at a band below senior Toronto market","https://www.linkedin.com/jobs/view/4461318478/"
"2026-09-21","new","Ramp","Mobile Engineer, iOS","li4r","3","OK; Greater Toronto Area, Canada (Remote); fintech mobile, no media; reposted about 1 week ago; comp not named; gap: fintech mobile product with no media, video or graphics dimension","https://www.linkedin.com/jobs/view/4379066285/"
"2026-09-21","new","Xsolla","Lead Software Engineer (Mobile Native)","li4r","3","OK; Canada (Remote); game commerce, no media; reposted 4 days ago; 120,000-170,000 per year as stated, currency ambiguous; lead native-mobile seat at a game-commerce platform; gap: game payments and commerce with no media or playback dimension","https://www.linkedin.com/jobs/view/4318499472/"
"2026-09-21","new","Fireblocks","Mobile Engineer","li4r","3","OK; Greater Toronto Area, Canada (Remote); crypto fintech, no media; reposted 5 days ago; comp not named; title as posted ends '(Remote)', stripped for the dedupe key; gap: crypto custody product with no media or graphics dimension","https://www.linkedin.com/jobs/view/4449600014/"
"2026-09-21","new","COGNITO INC","iOS Developer","li4r","3","OK; Mississauga ON and Toronto ON (Hybrid), card listed Canada Remote; no seniority stated, generic iOS; posted 5 days ago; comp not named; gap: no seniority stated and no media or video dimension","https://www.linkedin.com/jobs/view/4468240402/"
"2026-09-21","new","Magnet Forensics","Senior iOS Platform Engineer","li4r","3","OK; Canada (Remote), posting says must reside in Canada; iOS platform internals, different discipline; reposted about 3 weeks ago; CAD 130,000-180,000; possibly the same requisition as seg4's Senior Mobile Systems Engineer (iOS Focus), kept as a separate row because the titles differ under the dedupe key; gap: iOS platform internals rather than application or media work","https://www.linkedin.com/jobs/view/4429717177/"
"2026-09-21","new","emergiTEL","Mobile Application Developer","li4t","3","OK; Toronto ON (Hybrid); agency posting, below senior band; posted about 3 weeks ago; CAD 100,000-120,000; staffing-agency posting with no client named; gap: band below senior Toronto market and no media dimension","https://www.linkedin.com/jobs/view/4459212509/"
"2026-09-21","new","DoorDash","Senior Software Engineer, iOS","li4t","3","OK; Toronto ON (On-site); onsite delivery app, no media; reposted about 2 weeks ago; comp not named; large-org scale would answer the resume's corroboration liability; gap: no media, video or graphics dimension, and SwiftUI expected","https://www.linkedin.com/jobs/view/4453247518/"
"2026-09-21","new","RBC","Senior iOS Engineer","li4t","3","OK; Toronto ON (On-site); bank app, no media dimension; posted 4 days ago; comp not named; gap: retail banking app with no media, video or graphics dimension","https://www.linkedin.com/jobs/view/4468684830/"
"2026-09-21","new","TekRek","Senior Mobile Engineer","li4t","3","OK; Toronto ON (Hybrid); native Android also required, consultancy; posted about 3 weeks ago; comp not named; native iOS and Android for a live-debate social app, opened in li4t under the mobile video keyword with no video feature found; gap: native Android alongside iOS, nowhere on the resume","https://www.linkedin.com/jobs/view/4457470864/"
"2026-09-21","new","Amazon (Ring)","Sr. Builder - Mobile (Platform), Ring","li4t","2","OK; Toronto ON (On-site); reposted 3 days ago; CAD 150,700-251,700 annually; preferred qualifications name streaming video, WebRTC/HLS/RTSP and media playback at scale, the strongest media match in this pass's Apple-platform block; li4t opened this posting, so the description is read despite the li4t-only source; level right; gap: cross-platform mobile platform work including Android, and SwiftUI","https://www.linkedin.com/jobs/view/4460135403/"
"2026-09-21","new","EnStream LP","Mobile Developer","li4t","3","OK; Toronto ON (Hybrid); telecom data, generic mobile role; posted about 2 weeks ago; comp not named; gap: telecom data product with no media dimension","https://www.linkedin.com/jobs/view/4461972472/"
"2026-09-21","new","Lightspeed Commerce","Senior iOS Developer","li4t","3","OK; Toronto ON (Hybrid); POS commerce, no media dimension; posted 5 days ago; comp not named; third Lightspeed requisition in this ledger, the other two already skipped; gap: point-of-sale commerce with no media, video or graphics dimension","https://www.linkedin.com/jobs/view/4466242247/"
